POS,PLAYER,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100,50,4S,6S
112,"Shardul Thakur
CSK",9,3,2,21,17,21.00,17,123.52,0,0,2,1
113,"Ashton Turner
LSG",2,2,0,21,16,10.50,18,116.66,0,0,0,2
114,"Kagiso Rabada
PBKS",11,3,2,20,11*,20.00,14,142.85,0,0,0,2
115,"Gulbadin Naib
DC",2,1,0,19,19,19.00,15,126.66,0,0,1,1
116,"Marco Jansen
SRH",3,2,1,18,17,18.00,13,138.46,0,0,1,1
117,"Saurav Chauhan
RCB",3,3,0,18,9,6.00,15,120.00,0,0,1,1
118,"Sumit Kumar
DC",4,3,1,18,9*,9.00,24,75.00,0,0,2,1
119,"Piyush Chawla
MI",11,6,2,15,10,3.75,15,100.00,0,0,1,1
120,"Sanvir Singh
SRH",4,3,2,14,8*,14.00,12,116.66,0,0,1,0
121,"Trent Boult
RR",16,5,3,14,12,7.00,16,87.50,0,0,2,0
122,"Mitchell Santner
CSK",3,3,0,14,11,4.67,17,82.35,0,0,1,0
123,"Gerald Coetzee
MI",10,5,1,14,8,3.50,22,63.63,0,0,0,1
124,"Sai Kishore
GT",5,2,1,13,13,13.00,6,216.66,0,0,0,2
125,"Harshal Patel
PBKS",14,4,1,13,12,4.33,19,68.42,0,0,1,1
126,"Mohammed Siraj
RCB",14,3,1,12,12,6.00,8,150.00,0,0,0,2
127,"Darshan Nalkande
GT",3,1,0,12,12,12.00,11,109.09,0,0,0,1
128,"Jasprit Bumrah
MI",13,4,4,12,8*,-,12,100.00,0,0,1,0
129,"Umesh Yadav
GT",7,2,1,12,10*,12.00,15,80.00,0,0,0,1
130,"Avesh Khan
RR",16,3,3,10,7*,-,5,200.00,0,0,1,0
131,"Lalit Yadav
DC",2,2,0,10,7,5.00,12,83.33,0,0,1,0
132,"Luke Wood
MI",2,1,1,9,9*,-,3,300.00,0,0,0,1
133,"Arshin Atul Kulkarni
LSG",2,2,0,9,9,4.50,8,112.50,0,0,2,0
134,"Mitchell Starc
KKR",14,5,3,9,6*,4.50,11,81.81,0,0,1,0
135,"Abhinav Manohar
GT",2,2,0,9,8,4.50,16,56.25,0,0,1,0
136,"Donovan Ferreira
RR",2,2,0,8,7,4.00,11,72.72,0,0,0,0
137,"Vijayakanth Viyaskanth
SRH",3,1,1,7,7*,-,5,140.00,0,0,0,0
138,"Spencer Johnson
GT",5,3,3,6,5*,-,7,85.71,0,0,1,0
139,"Anmolpreet Singh
SRH",2,2,0,5,5,2.50,6,83.33,0,0,1,0
140,"Noor Ahmad
GT",10,4,2,5,4,2.50,9,55.55,0,0,1,0
141,"Arshdeep Singh
PBKS",14,1,0,4,4,4.00,3,133.33,0,0,1,0
142,"Akash Madhwal
MI",5,1,1,4,4*,-,5,80.00,0,0,0,0
143,"Matthew Wade
GT",2,1,0,4,4,4.00,6,66.66,0,0,0,0
144,"Ravi Bishnoi
LSG",14,3,0,4,2,1.33,6,66.66,0,0,0,0
145,"Anrich Nortje
DC",6,2,0,4,4,2.00,8,50.00,0,0,0,0
146,"Mohit Sharma
GT",12,3,1,4,4,2.00,15,26.66,0,0,0,0
147,"Anukul Roy
KKR",4,1,1,3,3*,-,3,100.00,0,0,0,0
148,"Reece Topley
RCB",4,1,1,3,3*,-,6,50.00,0,0,0,0
149,"Kumar Kushagra
DC",4,3,0,3,2,1.00,7,42.85,0,0,0,0
150,"Mukesh Kumar
DC",10,2,1,3,3,3.00,9,33.33,0,0,0,0
151,"Ricky Bhui
DC",2,2,0,3,3,1.50,9,33.33,0,0,0,0
152,"Mohsin Khan
LSG",9,1,0,2,2,2.00,1,200.00,0,0,0,0
153,"Richard Gleeson
CSK",2,1,1,2,2*,-,2,100.00,0,0,0,0
154,"Jhye Richardson
DC",1,1,0,2,2,2.00,2,100.00,0,0,0,0
155,"Anshul Kamboj
MI",3,1,1,2,2*,-,2,100.00,0,0,0,0
156,"Akash Deep
RCB",1,1,1,2,2*,-,2,100.00,0,0,0,0
157,"Shivam Singh
PBKS",1,1,1,2,2*,-,3,66.66,0,0,0,0
158,"Naveen-Ul-Haq
LSG",10,3,3,2,2*,-,4,50.00,0,0,0,0
159,"B R Sharath
GT",1,1,0,2,2,2.00,5,40.00,0,0,0,0
160,"Vaibhav Arora
KKR",10,2,2,1,1*,-,1,100.00,0,0,0,0
161,"Shams Mulani
MI",2,1,1,1,1*,-,1,100.00,0,0,0,0
162,"Lockie Ferguson
RCB",7,1,0,1,1,1.00,1,100.00,0,0,0,0
163,"Lizaad Williams
DC",2,1,1,1,1*,-,2,50.00,0,0,0,0
164,"Keshav Maharaj
RR",2,1,0,1,1,1.00,2,50.00,0,0,0,0
165,"Manav Suthar
GT",1,1,0,1,1,1.00,2,50.00,0,0,0,0
166,"Vyshak Vijaykumar
RCB",4,2,1,1,1*,1.00,3,33.33,0,0,0,0
167,"Ishant Sharma
DC",9,2,2,1,1*,-,7,14.28,0,0,0,0
